iter	Passed	Remaining
927	13016	1009
928	13029	995
929	13044	981
930	13057	967
931	13070	953
932	13084	939
933	13097	925
934	13111	911
935	13125	897
936	13138	883
937	13151	869
938	13165	855
939	13179	841
940	13192	827
941	13207	813
942	13220	799
943	13242	785
944	13257	771
945	13271	757
946	13284	743
947	13297	729
948	13311	715
949	13325	701
950	13339	687
951	13352	673
952	13367	659
953	13381	645
954	13395	631
955	13410	617
956	13424	603
957	13439	589
958	13453	575
959	13467	561
960	13480	547
961	13495	533
962	13509	519
963	13522	504
964	13536	490
965	13550	476
966	13564	462
967	13579	448
968	13593	434
969	13608	420
970	13622	406
971	13636	392
972	13650	378
973	13664	364
974	13677	350
975	13691	336
976	13705	322
977	13719	308
978	13733	294
979	13746	280
980	13759	266
981	13774	252
982	13790	238
983	13804	224
984	13818	210
985	13832	196
986	13845	182
987	13860	168
988	13874	154
989	13888	140
990	13901	126
991	13914	112
992	13927	98
993	13941	84
994	13954	70
995	13968	56
996	13981	42
997	13994	28
998	14008	14
999	14021	0
